iter	RMSE
0	0.2969015963
1	0.2953376479
2	0.2939430529
3	0.2928571922
4	0.2912794688
5	0.2894950088
6	0.2879866861
7	0.2865114648
8	0.2853546923
9	0.2841258253
10	0.2826783884
11	0.2813041036
12	0.2800486636
13	0.2788931116
14	0.2775243558
15	0.2761854866
16	0.2748966179
17	0.2736284343
18	0.2725193249
19	0.2713916792
20	0.2701765612
21	0.2689912099
22	0.2677928308
23	0.266571722
24	0.2656560693
25	0.2644333039
26	0.2638882973
27	0.2629375958
28	0.2618761138
29	0.2608510941
30	0.2602239325
31	0.2592844423
32	0.2580752674
33	0.2572457812
34	0.2563409845
35	0.2555301426
36	0.2546904296
37	0.2540748477
38	0.2532077524
39	0.2522406144
40	0.2514179098
41	0.2507285659
42	0.2502190399
43	0.2494283868
44	0.2485312154
45	0.2477395173
46	0.2469398086
47	0.2462163024
48	0.2456533154
49	0.2449674404
50	0.2441838985
51	0.2434782836
52	0.2427215941
53	0.2419946883
54	0.2411868741
55	0.240532112
56	0.2397277081
57	0.2390462001
58	0.2382964933
59	0.2377267635
60	0.2370650707
61	0.2365253455
62	0.2358380183
63	0.2353572814
64	0.2347901249
65	0.2343583484
66	0.2339250174
67	0.2333520022
68	0.232941091
69	0.2323652225
70	0.23175596
71	0.2312803394
72	0.2309126067
73	0.2302958718
74	0.2297951719
75	0.2291583143
76	0.228763251
77	0.2282214781
78	0.2277680656
79	0.2273442883
80	0.2269082173
81	0.2264534194
82	0.2261640451
83	0.2258636529
84	0.2254861294
85	0.2249866386
86	0.2245407395
87	0.2242579518
88	0.2236786478
89	0.2232318828
90	0.2227629091
91	0.2222594826
92	0.2219094502
93	0.2215536545
94	0.2211128995
95	0.2205911276
96	0.2201630234
97	0.2198804543
98	0.2195273531
99	0.2193400891
100	0.2188437361
101	0.218529684
102	0.218294224
103	0.2179295736
104	0.2175727506
105	0.2172054309
106	0.216851958
107	0.2165936923
108	0.2162281662
109	0.2159010516
110	0.2154299633
111	0.2149266791
112	0.2146175061
113	0.2142126538
114	0.2137973571
115	0.213376671
116	0.2131085698
117	0.2127639566
118	0.2126601218
119	0.2125718197
120	0.212272164
121	0.2119860461
122	0.211767949
123	0.211511712
124	0.2112238215
125	0.2108442046
126	0.2105497312
127	0.2102950209
128	0.210163656
129	0.2098267181
130	0.2096239884
131	0.2092950998
132	0.209018242
133	0.2088350587
134	0.208626148
135	0.2082486663
136	0.2080765873
137	0.2078427035
138	0.2074820992
139	0.2072012035
140	0.2068619473
141	0.2065030563
142	0.2064053554
143	0.2061271261
144	0.2060362896
145	0.205890887
146	0.2056479508
147	0.205289186
148	0.205036026
149	0.2047537349
150	0.2047099045
151	0.2044077673
152	0.2041788956
153	0.2039859526
154	0.2037414615
155	0.2035647451
156	0.2033424123
157	0.2030683166
158	0.2029237111
159	0.2026999273
160	0.2023646471
161	0.202142619
162	0.2019573666
163	0.2017747119
164	0.2014745231
165	0.2011833068
166	0.2009301265
167	0.2007599434
168	0.2005652916
169	0.2003432855
170	0.2002602852
171	0.199943161
172	0.199791794
173	0.1996026058
174	0.1994055488
175	0.1991115712
176	0.1988815489
177	0.1986748821
178	0.1984973792
179	0.1982516593
180	0.1980274341
181	0.1977471921
182	0.1975640426
183	0.1974052669
184	0.1971409817
185	0.1969098723
186	0.1966594536
187	0.1964662985
188	0.1962553088
189	0.1960730669
190	0.1959045374
191	0.1956936704
192	0.1955025382
193	0.1953369278
194	0.1951866393
195	0.1949607071
196	0.1949173663
197	0.1947510997
198	0.1946336844
199	0.1944902062
200	0.1943340146
201	0.1941292768
202	0.1940050792
203	0.1938660313
204	0.1937209278
205	0.1935913277
206	0.1934566745
207	0.193227274
208	0.1932007226
209	0.1930083065
210	0.1927238506
211	0.1924969122
212	0.1924737562
213	0.1922182072
214	0.1921214128
215	0.1919641842
216	0.191789531
217	0.1916313214
218	0.1913976681
219	0.1912586355
220	0.1909475127
221	0.1908570942
222	0.1906684209
223	0.1904476536
224	0.1903126988
225	0.1902513027
226	0.1900388754
227	0.1898950781
228	0.1897780647
229	0.1896257897
230	0.1894518501
231	0.1891516764
232	0.1891279654
233	0.1890713994
234	0.1888659997
235	0.1886438027
236	0.1885163876
237	0.1883806561
238	0.188198443
239	0.1880523993
240	0.1879082493
241	0.1876877688
242	0.1876142235
243	0.1875161514
244	0.1873578674
245	0.1872393183
246	0.1872261148
247	0.1870792009
248	0.1868955939
249	0.1867832985
250	0.1866406614
251	0.186513001
252	0.186230723
253	0.1860910664
254	0.1859971812
255	0.1859048265
256	0.1857477249
257	0.1857240356
258	0.1856042658
259	0.1854127488
260	0.1852724901
261	0.185123155
262	0.18496109
263	0.1848596434
264	0.1847943876
265	0.1846423783
266	0.1844819521
267	0.1843704187
268	0.184336735
269	0.1841385962
270	0.183835714
271	0.1837734766
272	0.1835613711
273	0.183461076
274	0.1833498279
275	0.1832010616
276	0.1831030482
277	0.1829150235
278	0.1826993535
279	0.1825897205
280	0.1824471826
281	0.1823899162
282	0.1821737751
283	0.1820779363
284	0.1820653364
285	0.1819795413
286	0.1818794899
287	0.1817933312
288	0.1815803201
289	0.181533741
290	0.1814225327
291	0.1813430912
292	0.1812294434
293	0.1811098832
294	0.1809187646
295	0.1808483261
296	0.1808147749
297	0.1807408879
298	0.1806453133
299	0.1804846644
300	0.1803917692
301	0.1802816057
302	0.1801973489
303	0.1801339361
304	0.1801181142
305	0.1799033996
306	0.179884207
307	0.1798092159
308	0.1795055855
309	0.1793504512
310	0.1792728907
311	0.1791560423
312	0.1790703257
313	0.1790508961
314	0.1788871128
315	0.178841357
316	0.1787756768
317	0.1786319691
318	0.1785771936
319	0.1784577155
320	0.1783710261
321	0.1782980723
322	0.1781490853
323	0.1779482573
324	0.1778423405
325	0.1777442014
326	0.1776481356
327	0.1776148183
328	0.1775279505
329	0.1774708923
330	0.1772801598
331	0.1771849678
332	0.1768913725
333	0.1767152582
334	0.1766370733
335	0.1764985057
336	0.1763665203
337	0.1762315226
338	0.1761311251
339	0.1760923227
340	0.1759324118
341	0.1758896271
342	0.1757747546
343	0.1757709281
344	0.1756954217
345	0.1756839526
346	0.1755772155
347	0.1755496958
348	0.1753206437
349	0.175148488
350	0.1749883347
351	0.1749199179
352	0.1748930702
353	0.1747303149
354	0.1746362094
355	0.174500056
356	0.1744048943
357	0.1743465349
358	0.1742525121
359	0.1741959116
360	0.1741149345
361	0.1739948693
362	0.1738779588
363	0.1737197327
364	0.1736632361
365	0.1735767581
366	0.1735380426
367	0.1734904221
368	0.1734096151
369	0.1732619583
370	0.1731373445
371	0.1730896836
372	0.172982965
373	0.1728791576
374	0.1727900448
375	0.172720891
376	0.1725782166
377	0.1725105783
378	0.1724079094
379	0.1722889718
380	0.1722096233
381	0.1720713633
382	0.1719884461
383	0.171922676
384	0.171860266
385	0.171811134
386	0.171737302
387	0.171720733
388	0.1716400091
389	0.171566079
390	0.17149362
391	0.1713885204
392	0.1713059981
393	0.1712099585
394	0.1711981848
395	0.1711798686
396	0.1711646889
397	0.171020571
398	0.1709461983
399	0.1708765401
400	0.1707594816
401	0.1706560799
402	0.1704880303
403	0.1703216437
404	0.1702669749
405	0.1702605507
406	0.170169994
407	0.1701348768
408	0.170126688
409	0.1700914885
410	0.1700298343
411	0.1699240724
412	0.1698816706
413	0.1697732601
414	0.1696864489
415	0.1695365048
416	0.1694063617
417	0.1692094201
418	0.1691204519
419	0.168956274
420	0.1688813383
421	0.1688318234
422	0.1688223243
423	0.1687407944
424	0.1686943801
425	0.1685681106
426	0.1684152287
427	0.168377057
428	0.1683154546
429	0.1681320185
430	0.1681027792
431	0.1680307691
432	0.1680238059
433	0.1679926599
434	0.1677867358
435	0.1677128323
436	0.1674935672
437	0.1674035548
438	0.1673392206
439	0.1672579341
440	0.1670426503
441	0.1669614447
