iter	Passed	Remaining
0	1	6895
1	2	6715
2	3	6523
3	5	6270
4	6	6201
5	7	6123
6	8	6342
7	10	6286
8	11	6289
9	12	6254
10	13	6033
11	14	6015
12	15	5990
13	16	5767
14	17	5794
15	18	5803
16	19	5798
17	21	5849
18	22	5849
19	23	5835
20	24	5857
21	25	5858
22	27	5852
23	28	5856
24	29	5855
25	30	5862
26	31	5858
27	33	5880
28	34	5891
29	35	5926
30	36	5918
31	38	5913
32	39	5895
33	40	5884
34	41	5894
35	42	5899
36	43	5895
37	45	5882
38	46	5882
39	46	5786
40	47	5787
41	48	5780
42	50	5795
43	51	5789
44	52	5785
45	53	5795
46	54	5792
47	56	5798
48	57	5803
49	58	5815
50	59	5814
51	61	5811
52	62	5818
53	63	5816
54	64	5812
55	65	5809
56	66	5803
57	68	5799
58	69	5797
59	70	5791
60	71	5788
61	72	5786
62	74	5813
63	75	5811
64	76	5809
65	77	5812
66	78	5807
67	80	5805
68	81	5809
69	82	5809
70	83	5809
71	84	5806
72	86	5811
73	87	5815
74	88	5812
75	89	5808
76	90	5806
77	92	5810
78	93	5803
79	94	5802
80	95	5801
81	96	5801
82	97	5799
83	99	5805
84	100	5808
85	101	5807
86	102	5803
87	103	5802
88	105	5797
89	106	5793
90	107	5794
91	107	5758
92	109	5754
93	110	5753
94	111	5752
95	112	5759
96	113	5762
97	115	5760
98	116	5760
99	117	5758
100	118	5756
101	119	5756
102	121	5758
103	122	5758
104	123	5760
105	124	5759
106	125	5755
107	126	5751
108	128	5751
109	129	5749
110	130	5747
111	131	5745
112	132	5746
113	134	5745
114	135	5741
115	136	5739
116	137	5736
117	138	5731
118	139	5728
119	140	5729
120	142	5728
121	143	5725
122	144	5724
123	145	5723
124	146	5721
125	147	5718
126	148	5715
127	150	5711
128	151	5712
129	152	5709
130	153	5710
131	154	5708
132	155	5708
133	157	5705
134	158	5710
135	159	5707
136	160	5704
137	161	5703
138	163	5703
139	164	5703
140	165	5703
141	166	5700
142	167	5705
143	169	5704
144	170	5702
145	171	5700
146	172	5702
147	173	5704
148	175	5704
149	176	5704
150	177	5705
151	178	5707
152	180	5705
153	181	5706
154	182	5705
155	183	5705
156	184	5703
157	186	5701
158	187	5702
159	188	5702
160	189	5700
161	190	5697
162	192	5697
163	193	5695
164	194	5692
165	195	5690
166	196	5689
167	197	5687
168	199	5689
169	200	5690
170	201	5688
171	202	5686
172	203	5686
173	204	5684
174	206	5686
175	207	5682
176	208	5680
177	209	5677
178	210	5675
179	211	5675
180	213	5673
181	214	5673
182	215	5670
183	216	5668
184	217	5665
185	218	5663
186	220	5663
187	221	5661
188	222	5660
189	223	5658
190	224	5659
191	225	5659
192	227	5657
193	228	5657
194	229	5657
195	230	5656
196	231	5654
197	233	5651
198	234	5650
199	235	5650
200	236	5651
201	237	5649
202	239	5650
203	240	5647
204	241	5644
205	242	5643
206	242	5624
207	244	5622
208	245	5619
209	246	5618
210	247	5618
211	248	5617
212	249	5617
213	251	5615
214	252	5615
215	253	5615
216	254	5614
217	255	5611
218	257	5612
219	258	5610
220	259	5608
221	260	5607
222	261	5608
223	262	5606
224	264	5604
225	265	5603
226	266	5603
227	267	5604
228	268	5602
229	270	5601
230	271	5599
231	272	5597
232	273	5597
233	274	5596
234	276	5599
235	277	5597
236	278	5596
237	279	5594
238	280	5595
239	282	5594
240	283	5593
241	284	5593
242	285	5591
243	286	5590
244	287	5588
245	289	5587
246	290	5587
247	291	5585
248	292	5585
249	293	5585
250	295	5582
251	296	5581
252	297	5580
253	298	5578
254	299	5578
255	300	5577
256	302	5576
257	303	5575
258	304	5574
259	305	5572
260	306	5571
261	307	5569
262	309	5567
263	310	5566
264	311	5566
265	312	5564
266	313	5561
267	314	5560
268	316	5558
269	317	5555
270	318	5555
271	319	5553
272	320	5551
273	321	5550
274	322	5548
275	324	5549
276	325	5548
277	326	5551
278	327	5549
279	329	5549
280	330	5548
281	331	5547
282	332	5547
283	333	5545
284	335	5544
285	336	5542
286	337	5542
287	338	5539
288	339	5538
289	340	5536
290	342	5535
291	343	5535
292	344	5534
293	345	5533
294	346	5533
295	348	5532
296	349	5532
297	350	5532
298	351	5529
299	352	5529
300	354	5527
301	355	5526
302	356	5524
303	357	5521
304	358	5519
305	359	5519
306	360	5517
307	362	5515
308	363	5514
309	364	5513
310	365	5506
311	366	5504
312	367	5503
313	368	5502
314	369	5501
315	371	5499
316	372	5498
317	373	5497
318	374	5495
319	375	5493
320	376	5490
321	377	5489
322	378	5487
323	380	5487
324	381	5485
325	382	5485
326	383	5484
327	384	5482
328	386	5480
329	387	5480
330	388	5479
331	389	5477
332	390	5477
333	391	5475
334	393	5473
335	394	5471
336	395	5470
337	396	5468
338	397	5466
339	398	5465
340	399	5463
341	400	5461
342	402	5460
343	403	5459
344	404	5460
345	405	5459
346	406	5457
347	408	5456
348	409	5455
349	410	5454
350	411	5453
351	412	5453
352	414	5453
353	415	5452
354	416	5450
355	417	5449
356	418	5448
357	420	5446
358	421	5445
359	422	5444
360	423	5444
361	424	5443
362	426	5442
363	427	5441
364	428	5440
365	429	5440
366	430	5438
367	431	5437
368	433	5435
369	434	5434
370	435	5433
371	436	5432
